Change,Description,MultipleCompulsory,Department,Number,Grade,Class,Name,Url,Credit,YearSemester,CompulsoryElective,Restrict,Select,Selected,Remaining,Teacher,Room,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Context
,,,英文中高級,GEEN117B,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN117B&Crsname=英文中高級,3,期,必,35,1,37,-2,陳楓旻,社SS 3006,,234,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
,,,英文中高級,GEEN117C,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN117C&Crsname=英文中高級,3,期,必,35,1,35,0,溫惠珍,社SS 3006,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
,,,英文中高級,GEEN117D,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN117D&Crsname=英文中高級,3,期,必,35,0,33,2,陳美淑,管CM 2025,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
異動,確認教師8/11,,英文中高級,GEEN117E,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN117E&Crsname=英文中高級,3,期,必,35,0,33,2,戴藤懋,海ME 3004,,,,,234,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
,,,英文中高級,GEEN117F,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN117F&Crsname=英文中高級,3,期,必,35,4,36,-1,莊家雄,社SS 3006,,,,,234,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
,,,英文中高級,GEEN117G,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN117G&Crsname=英文中高級,3,期,必,35,7,37,-2,莊家雄,社SS 3006,,,,,567,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
,,,英文高級,GEEN118,0,,英文高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN118&Crsname=英文高級,3,期,必,35,2,37,-2,賴怡芃,文LA 1012,,234,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
異動,更換教室6/30,,英文高級,GEEN118A,0,,英文高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN118A&Crsname=英文高級,3,期,必,35,2,19,16,陳福仁,文LA 3001,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
異動,更換教室9/14,,英文高級,GEEN118B,0,,英文高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEEN118B&Crsname=英文高級,3,期,必,35,1,15,20,沈尚玉,文LA 3012,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課
異動,修改備註7/22,,運動健康(必),GEPE102,1,,運動與健康：體適能,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=GEPE102&Crsname=運動與健康：體適能,1,期,必,55,0,52,3,羅凱暘,,12,,,,,,,《體育類》第一堂課請於體育館前集合
